Data Import Template,,,,,,,,,
Table:,Employee Checkin,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
DocType:,Employee Checkin,,,,,,,,
Column Labels:,ID,Employee,Time,Employee Name,Log Type,Shift,Location / Device ID,Skip Auto Attendance,Attendance Marked
Column Name:,name,employee,time,employee_name,log_type,shift,device_id,skip_auto_attendance,attendance
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No
Type:,Data,Link,Datetime,Data,Select,Link,Data,Check,Link
Info:,,Valid Employee,dd-mm-yyyy,,"One of: IN, OUT",Valid Shift Type,,0 or 1,Valid Attendance
Start entering data below this line,,,,,,,,,
,,HR-EMP-00012,2/15/2020 19:18,,OUT,,,,
,,HR-EMP-00009,2/17/2020 9:56,,IN,,,,
,,HR-EMP-00007,2/17/2020 10:22,,IN,,,,
,,HR-EMP-00014,2/17/2020 10:28,,IN,,,,
,,HR-EMP-00012,2/17/2020 10:47,,IN,,,,
,,HR-EMP-00001,2/17/2020 10:57,,IN,,,,
,,HR-EMP-00009,2/17/2020 18:30,,OUT,,,,
,,HR-EMP-00007,2/17/2020 19:12,,OUT,,,,
,,HR-EMP-00001,2/17/2020 19:16,,OUT,,,,
,,HR-EMP-00014,2/17/2020 19:17,,OUT,,,,
,,HR-EMP-00012,2/17/2020 19:25,,OUT,,,,
,,HR-EMP-00004,2/17/2020 19:28,,IN,,,,
,,HR-EMP-00009,2/18/2020 9:43,,IN,,,,
,,HR-EMP-00012,2/18/2020 10:27,,IN,,,,
,,HR-EMP-00014,2/18/2020 10:32,,IN,,,,
,,HR-EMP-00007,2/18/2020 10:35,,IN,,,,
,,HR-EMP-00001,2/18/2020 10:57,,IN,,,,
,,HR-EMP-00004,2/18/2020 11:43,,IN,,,,
,,HR-EMP-00009,2/18/2020 18:30,,OUT,,,,
,,HR-EMP-00012,2/18/2020 19:03,,OUT,,,,
,,HR-EMP-00007,2/18/2020 19:05,,OUT,,,,
,,HR-EMP-00014,2/18/2020 19:07,,OUT,,,,
,,HR-EMP-00004,2/18/2020 19:11,,OUT,,,,
,,HR-EMP-00001,2/18/2020 19:28,,OUT,,,,
,,HR-EMP-00009,2/19/2020 9:49,,IN,,,,
,,HR-EMP-00014,2/19/2020 10:12,,IN,,,,
,,HR-EMP-00007,2/19/2020 10:29,,IN,,,,
,,HR-EMP-00001,2/19/2020 10:47,,IN,,,,
,,HR-EMP-00012,2/19/2020 11:05,,IN,,,,
,,HR-EMP-00009,2/19/2020 18:30,,OUT,,,,
,,HR-EMP-00007,2/19/2020 19:00,,OUT,,,,
,,HR-EMP-00014,2/19/2020 19:03,,OUT,,,,
,,HR-EMP-00001,2/19/2020 19:03,,OUT,,,,
,,HR-EMP-00012,2/19/2020 19:03,,OUT,,,,
,,HR-EMP-00009,2/20/2020 9:48,,IN,,,,
,,HR-EMP-00001,2/20/2020 10:03,,IN,,,,
,,HR-EMP-00014,2/20/2020 10:39,,IN,,,,
,,HR-EMP-00012,2/20/2020 10:45,,IN,,,,
,,HR-EMP-00007,2/20/2020 10:52,,IN,,,,
,,HR-EMP-00004,2/20/2020 11:25,,IN,,,,
,,HR-EMP-00009,2/20/2020 18:30,,OUT,,,,
,,HR-EMP-00014,2/20/2020 18:41,,OUT,,,,
,,HR-EMP-00001,2/20/2020 18:47,,OUT,,,,
,,HR-EMP-00007,2/20/2020 19:01,,OUT,,,,
,,HR-EMP-00012,2/20/2020 19:02,,OUT,,,,
,,HR-EMP-00004,2/20/2020 19:34,,OUT,,,,
,,HR-EMP-00009,2/21/2020 9:47,,IN,,,,
,,HR-EMP-00007,2/21/2020 10:31,,IN,,,,
,,HR-EMP-00001,2/21/2020 10:33,,IN,,,,
,,HR-EMP-00012,2/21/2020 10:40,,IN,,,,
,,HR-EMP-00014,2/21/2020 10:57,,IN,,,,
,,HR-EMP-00004,2/21/2020 11:16,,IN,,,,
,,HR-EMP-00009,2/21/2020 18:32,,OUT,,,,
,,HR-EMP-00014,2/21/2020 18:55,,OUT,,,,
,,HR-EMP-00007,2/21/2020 19:00,,OUT,,,,
,,HR-EMP-00001,2/21/2020 19:00,,OUT,,,,
,,HR-EMP-00012,2/21/2020 19:00,,OUT,,,,
,,HR-EMP-00004,2/21/2020 20:19,,OUT,,,,
,,HR-EMP-00012,2/24/2020 10:12,,IN,,,,
,,HR-EMP-00009,2/24/2020 10:16,,IN,,,,
,,HR-EMP-00001,2/24/2020 10:48,,IN,,,,
,,HR-EMP-00014,2/24/2020 10:58,,IN,,,,
,,HR-EMP-00007,2/24/2020 10:59,,IN,,,,
,,HR-EMP-00004,2/24/2020 11:29,,IN,,,,
,,HR-EMP-00009,2/24/2020 18:39,,OUT,,,,
,,HR-EMP-00007,2/24/2020 19:10,,OUT,,,,
,,HR-EMP-00001,2/24/2020 19:23,,OUT,,,,
,,HR-EMP-00014,2/24/2020 19:25,,OUT,,,,
,,HR-EMP-00004,2/24/2020 19:27,,OUT,,,,
,,HR-EMP-00012,2/24/2020 19:27,,OUT,,,,
,,HR-EMP-00009,2/25/2020 10:00,,IN,,,,
,,HR-EMP-00012,2/25/2020 10:19,,IN,,,,
,,HR-EMP-00007,2/25/2020 10:34,,IN,,,,
,,HR-EMP-00001,2/25/2020 10:42,,IN,,,,
